formatted_address,name,geometry_location_lat,geometry_location_lng,rating,dest_lat_lng,walking_distance_duration
"1a/118 Devonshire St, Surry Hills NSW 2010, Australia",Sample Coffee,-33.8866804,151.20919,4.6,-33.8866804 151.20919,"0.1 km,2 mins"
"Eddy Ave, Haymarket NSW 2000, Australia",Espresso Station Pie & Coffee Shop,-33.8824415,151.206773,3.4,-33.8824415 151.206773,"0.5 km,6 mins"
"60-64 Reservoir St, Surry Hills NSW 2010, Australia",Single O Surry Hills,-33.881139,151.209654,4.5,-33.881139 151.209654,"0.7 km,8 mins"
"2 1 Queen Victoria Building, 455 George St, Sydney NSW 2000, Australia",Old Vienna Coffee House,-33.871796,151.206739,2.3,-33.871796 151.206739,"1.8 km,23 mins"
"9-13 Hay St, Haymarket NSW 2000, Australia",The Coffee Club Café - Market City,-33.8796687,151.2030876,3.8,-33.8796687 151.2030876,"1.1 km,13 mins"
"65/63 Mountain St, Ultimo NSW 2007, Australia",Nectar Coffee,-33.8840823,151.1962738,4.3,-33.8840823 151.1962738,"1.6 km,21 mins"
"193 Missenden Rd, Newtown NSW 2042, Australia",Campos Coffee Newtown,-33.8930365,151.1831525,4.6,-33.8930365 151.1831525,"3.2 km,42 mins"
"50 Holt St, Surry Hills NSW 2010, Australia",Di Bella Coffee Roasting Warehouse,-33.8862903,151.2093846,3.9,-33.8862903 151.2093846,"0.1 km,1 min"
"32-36 City Rd, Chippendale NSW 2008, Australia",Toby's Estate Coffee Roasters,-33.8858584,151.1944136,4.4,-33.8858584 151.1944136,"1.9 km,24 mins"
"The Strand Arcade, 11/412-414 George St, Sydney NSW 2000, Australia",Gumption by Coffee Alchemy,-33.8694649,151.2074384,4.2,-33.8694649 151.2074384,"2.1 km,26 mins"
"304 Elizabeth St, Surry Hills NSW 2010, Australia",The Best Coffee,-33.8836666,151.2079336,4.5,-33.8836666 151.2079336,"0.4 km,5 mins"
"21/1 Bay St, Glebe NSW 2037, Australia",Three Beans Coffee Vanilla Mung,-33.8836394,151.1947166,3.2,-33.8836394 151.1947166,"1.8 km,23 mins"
"44 Reservoir St, Sydney NSW 2010, Australia",The Sandwich Shop,-33.8811382,151.2092243,4.2,-33.8811382 151.2092243,"0.6 km,7 mins"
"Queen Victoria Building, 69/455 George St, Sydney NSW 2000, Australia",Starbucks,-33.8723764,151.2066203,3.6,-33.8723764 151.2066203,"1.8 km,23 mins"
"76 Devonshire St, Surry Hills NSW 2010, Australia",Devon Cafe,-33.8859892,151.207715,3.9,-33.8859892 151.207715,"0.3 km,4 mins"
"1.03/75 Mary St, St Peters NSW 2044, Australia",Sample Coffee Pro Shop,-33.913281,151.1728198,4.7,-33.913281 151.1728198,"5.6 km,1 hour 10 mins"
"2/525 George St, Sydney NSW 2000, Australia",Starbucks,-33.87543,151.2061672,3.8,-33.87543 151.2061672,"1.4 km,18 mins"
"2.05/9 Hay St, Haymarket NSW 2000, Australia",Gloria Jean's Coffees,-33.8799521,151.2034355,2.7,-33.8799521 151.2034355,"1.0 km,12 mins"
"10.09-10.10/680 George St, Sydney NSW 2000, Australia",Kingswood Coffee,-33.8770697,151.2062445,4.6,-33.8770697 151.2062445,"1.3 km,16 mins"
"97/99 Bathurst St, Sydney NSW 2000, Australia",Tom N Toms Coffee,-33.8744757,151.205788,3.5,-33.8744757 151.205788,"1.7 km,21 mins"
"55 George St, Redfern NSW 2016, Australia",Refn Courtyard Cafe,-33.891145,151.20269,4.6,-33.891145 151.20269,"1.3 km,16 mins"
"67 King St, Sydney NSW 2000, Australia",Mecca,-33.868785,151.205874,4.4,-33.868785 151.205874,"2.3 km,28 mins"
"Lobby, Tower 3, International Tower, 300 Barangaroo Ave, Sydney NSW 2000, Australia",Campos Coffee,-33.8648831,151.2020485,4.0,-33.8648831 151.2020485,"2.8 km,35 mins"
"80 Commonwealth St, Surry Hills NSW 2010, Australia",Paramount Coffee Project,-33.879376,151.211137,4.2,-33.879376 151.211137,"1.0 km,12 mins"
"37 Oxford St, Darlinghurst NSW 2010, Australia",Gloria Jean's Coffees,-33.877904,151.213275,3.1,-33.877904 151.213275,"1.2 km,16 mins"
"32 Kings Ln, Darlinghurst NSW 2010, Australia",Salvador Coffee,-33.8778117,151.2168316,4.8,-33.8778117 151.2168316,"1.4 km,19 mins"
"66/68 Oxford St, Darlinghurst NSW 2010, Australia",Greenhouse Coffee,-33.8787777,151.2149148,4.9,-33.8787777 151.2149148,"1.1 km,15 mins"
"39/110 Bourke Rd, Alexandria NSW 2015, Australia",Di Bella Coffee,-33.9127104,151.1938434,,-33.9127104 151.1938434,"3.7 km,46 mins"
"3/27 Park St, Sydney NSW 2000, Australia",The Coffee Club Café - Park Street,-33.8733342,151.208639,3.4,-33.8733342 151.208639,"1.6 km,20 mins"
"45 Reservoir St, Surry Hills NSW 2010, Australia",Toast Cafe,-33.8813737,151.2099107,4.2,-33.8813737 151.2099107,"0.7 km,8 mins"
"Prince of Wales Private Hospital, 7 Barker Street, Prince, Randwick NSW 2031, Australia",Hudsons Coffee,-33.9185575,151.2391105,3.0,-33.9185575 151.2391105,"5.4 km,1 hour 10 mins"
"4 Huntley St, Alexandria NSW 2015, Australia",Huntley's Coffee Shop,-33.9103278,151.1932154,3.0,-33.9103278 151.1932154,"3.7 km,45 mins"
"500 George St, Sydney NSW 2000, Australia",Workshop Espresso,-33.8725992,151.2071446,4.1,-33.8725992 151.2071446,"1.8 km,22 mins"
"Sydney Central Plaza, 31LP George St, Sydney NSW 2000, Australia",Gloria Jean's Coffees,-33.8704221,151.2074018,3.3,-33.8704221 151.2074018,"1.9 km,24 mins"
"Capitol Square, G01/730-742 George St, Haymarket NSW 2000, Australia",Starbucks,-33.8792412,151.2056795,3.7,-33.8792412 151.2056795,"1.1 km,13 mins"
"5/2 Grosvenor St, Bondi NSW 2022, Australia",Hudsons Coffee,-33.89174,151.24963,2.6,-33.89174 151.24963,"4.0 km,53 mins"
"89 York St, Sydney NSW 2000, Australia",Single O CBD,-33.869645,151.2058951,4.6,-33.869645 151.2058951,"2.1 km,27 mins"
"113 Reservoir St, Surry Hills NSW 2010, Australia",Bangbang Cafe,-33.8814895,151.2124099,4.3,-33.8814895 151.2124099,"0.8 km,11 mins"
"46 Foster St, Surry Hills NSW 2010, Australia",KWILA,-33.880646,151.209683,4.8,-33.880646 151.209683,"0.7 km,9 mins"
"Shop LG06/580 George St, Sydney NSW 2000, Australia",two black sheep,-33.8747966,151.2071479,4.2,-33.8747966 151.2071479,"1.5 km,19 mins"
